slot_number,month,days_active,hold,denomination,location,coin_in
1,1,28,9.84,.25,"J",69090.45
1,2,31,9.84,.25,"J",73333.34
1,3,27,8.52,.25,"J",63591.55
1,4,31,8.52,.25,"J",84263.49
1,5,30,9.84,.25,"J",92990.34
1,6,31,9.84,.25,"J",67822.66
1,7,31,8.52,.25,"J",102253.5
1,9,31,9.84,.25,"J",56366.87
1,10,30,9.84,.25,"J",69794.2
1,11,31,8.52,.25,"J",45214.2
1,12,31,9.84,.25,"J",74611.28
1,13,29,8.52,.25,"J",46666.66
1,14,31,9.84,.25,"J",56915.65
1,15,30,9.84,.25,"J",86082.31
1,16,31,9.84,.25,"J",78854.16
2,1,28,6.36,.25,"K",96147.8
2,2,31,6.36,.25,"K",29701.26
2,3,30,6.36,.25,"K",124606.9
2,4,31,6.36,.25,"K",139889.9
2,5,30,6.36,.25,"K",104614.8
2,6,31,6.36,.25,"K",57515.72
2,7,31,6.36,.25,"K",100204.4
2,8,30,6.36,.25,"K",67327.04
2,9,31,6.36,.25,"K",144952.8
2,10,30,6.36,.25,"K",81682.39
2,11,31,6.36,.25,"K",54952.83
2,12,31,6.36,.25,"K",76776.73
2,13,29,6.36,.25,"K",100880.5
2,14,31,6.36,.25,"K",58128.93
2,15,30,6.36,.25,"K",62138.36
2,16,31,6.36,.25,"K",32720.13
3,1,28,6.36,.25,"K",77452.83
3,2,31,6.36,.25,"K",98832.55
3,4,31,6.36,.25,"K",160267.3
3,5,30,6.36,.25,"K",98003.14
3,6,31,6.36,.25,"K",71053.46
3,7,31,6.36,.25,"K",41745.28
3,8,30,6.36,.25,"K",55931.6
3,9,31,6.36,.25,"K",76462.27
3,10,30,6.36,.25,"K",71367.92
3,11,31,6.36,.25,"K",38584.91
3,13,29,6.36,.25,"K",51022.01
3,14,31,6.36,.25,"K",8537.735
3,15,30,6.36,.25,"K",36320.75
3,16,31,6.36,.25,"K",57232.7
4,1,28,6.36,.25,"K",114190.3
4,2,31,6.36,.25,"K",84606.91
4,3,30,6.36,.25,"K",62924.53
4,5,30,6.36,.25,"K",65518.87
4,6,31,6.36,.25,"K",43113.21
4,7,31,6.36,.25,"K",18773.58
4,8,30,6.36,.25,"K",106438.7
4,9,31,6.36,.25,"K",34913.52
4,10,30,6.36,.25,"K",57971.7
4,11,31,6.36,.25,"K",44496.86
4,12,31,6.36,.25,"K",77908.8
4,13,29,6.36,.25,"K",60377.36
4,14,31,6.36,.25,"K",56367.92
4,15,30,6.36,.25,"K",50581.76
4,16,31,6.36,.25,"K",91509.43
5,1,28,6.36,.25,"K",56627.36
5,2,31,6.36,.25,"K",86305.03
5,3,30,6.36,.25,"K",119622.6
5,4,31,6.36,.25,"K",41179.25
5,5,30,6.36,.25,"K",67216.98
5,6,31,6.36,.25,"K",85377.36
5,7,31,6.36,.25,"K",132342.8
5,8,30,6.36,.25,"K",143553.5
5,9,31,6.36,.25,"K",92877.36
5,10,30,6.36,.25,"K",92720.13
5,11,31,6.36,.25,"K",182452.8
5,12,31,6.36,.25,"K",31163.52
5,13,29,6.36,.25,"K",84261.01
5,14,31,6.36,.25,"K",13333.33
5,15,30,6.36,.25,"K",60974.84
5,16,31,6.36,.25,"K",57940.25
6,1,28,6.36,.25,"K",122893.1
6,2,31,6.36,.25,"K",110990.6
6,3,30,6.36,.25,"K",139795.6
6,4,31,6.36,.25,"K",137217
6,5,30,6.36,.25,"K",79402.52
6,7,31,6.36,.25,"K",120361.6
6,8,30,6.36,.25,"K",26753.14
6,9,31,6.36,.25,"K",61871.07
6,10,30,6.36,.25,"K",139040.9
6,11,31,6.36,.25,"K",130754.7
6,12,31,6.36,.25,"K",84386.79
6,13,29,6.36,.25,"K",155220.1
6,14,31,6.36,.25,"K",126415.1
6,15,30,6.36,.25,"K",154779.9
6,16,31,6.36,.25,"K",154194.2
7,1,28,6.36,.25,"K",4701.258
7,2,31,6.36,.25,"K",36057.39
7,4,31,6.36,.25,"K",148518.1
7,5,30,6.36,.25,"K",83176.1
7,8,30,6.36,.25,"K",142830.2
7,9,31,6.36,.25,"K",76006.29
7,10,30,6.36,.25,"K",78333.33
7,11,31,6.36,.25,"K",120707.5
7,12,31,6.36,.25,"K",116603.8
7,13,29,6.36,.25,"K",122861.6
7,14,31,6.36,.25,"K",145283
7,15,30,6.36,.25,"K",92531.45
7,16,31,6.36,.25,"K",181981.1
8,1,28,6.36,.25,"K",118899.4
8,3,30,6.36,.25,"K",120754.7
8,4,31,6.36,.25,"K",126780.7
8,5,30,6.36,.25,"K",51572.32
8,7,31,6.36,.25,"K",84779.88
8,8,30,6.36,.25,"K",135648.6
8,9,31,6.36,.25,"K",83883.65
8,11,31,6.36,.25,"K",78011.01
8,12,31,6.36,.25,"K",74040.88
8,14,31,6.36,.25,"K",25503.14
8,15,30,6.36,.25,"K",16336.48
8,16,31,6.36,.25,"K",41147.8
9,1,28,6.36,.25,"K",31100.63
9,2,31,6.36,.25,"K",80015.72
9,3,30,6.36,.25,"K",113537.7
9,4,31,6.36,.25,"K",110196.5
9,5,30,6.36,.25,"K",145094.3
9,7,31,6.36,.25,"K",133176.1
9,8,30,6.36,.25,"K",101706
9,9,31,6.36,.25,"K",91493.71
9,11,31,6.36,.25,"K",13003.14
9,12,31,6.36,.25,"K",52924.53
9,13,29,6.36,.25,"K",48081.76
9,14,31,6.36,.25,"K",109905.7
9,15,30,6.36,.25,"K",109654.1
9,16,31,6.36,.25,"K",83789.3
10,1,28,6.36,.25,"K",100125.8
10,2,31,6.36,.25,"K",114225.8
10,3,30,6.36,.25,"K",182154.1
10,4,31,6.36,.25,"K",197704.4
10,5,30,6.36,.25,"K",208317.6
10,7,31,6.36,.25,"K",221729.6
10,8,30,6.36,.25,"K",101851.4
10,9,31,6.36,.25,"K",95157.23
10,10,30,6.36,.25,"K",50927.67
10,11,31,6.36,.25,"K",155628.9
10,13,29,6.36,.25,"K",169937.1
10,14,31,6.36,.25,"K",231949.7
10,15,30,6.36,.25,"K",136053.5
10,16,31,6.36,.25,"K",213569.2
11,1,28,6.36,.25,"K",112767.3
11,2,31,6.36,.25,"K",129889.9
11,3,30,6.36,.25,"K",51477.99
11,4,31,6.36,.25,"K",12657.23
11,5,30,6.36,.25,"K",79673.74
