"respondent_id","profile_1","profile_2","profile_3","profile_4","profile_5","profile_6","profile_7","profile_8","profile_9","profile_10","profile_11","profile_12","profile_13","profile_14","profile_15","profile_16","profile_17","profile_18"
1,4,6,2,4,4,3,1,2,1,7,4,3,2,2,3,3,3,6
2,5,5,2,2,5,4,2,3,2,7,3,7,2,2,3,4,3,3
3,3,4,2,2,5,4,1,1,3,7,2,6,1,1,3,3,2,3
4,6,6,3,3,1,1,1,1,1,7,5,1,4,1,1,1,6,3
5,2,1,6,2,4,4,3,5,1,7,3,7,5,4,3,6,6,3
7,2,3,3,2,5,5,3,3,3,7,3,6,4,3,3,3,4,3
8,3,5,3,2,3,2,2,2,1,7,2,2,5,1,3,6,5,4
9,5,6,3,2,5,6,3,3,3,7,4,7,5,4,5,3,5,3
10,6,5,1,1,4,7,1,1,5,7,2,6,5,2,2,1,4,1
11,3,4,4,1,2,3,1,3,2,6,4,2,5,3,4,4,3,2
12,6,4,4,4,3,4,2,3,1,6,3,7,4,2,4,4,4,4
13,5,7,1,1,1,6,3,4,1,5,1,4,5,1,3,2,3,3
14,4,3,4,1,3,5,1,2,1,6,2,4,4,2,3,3,4,3
15,2,3,1,1,4,3,1,3,1,7,3,4,1,2,5,7,3,2
16,6,6,3,2,3,3,2,2,1,7,2,3,4,1,1,3,4,1
17,5,6,1,3,6,5,2,4,3,7,5,6,2,3,6,6,4,5
20,5,6,3,4,2,2,2,2,1,7,4,4,2,1,2,2,3,5
22,5,5,6,4,4,6,3,5,2,7,3,6,4,1,2,5,6,3
23,5,6,4,3,3,4,2,3,2,7,5,5,4,3,4,4,2,3
25,4,3,2,2,4,3,3,4,4,7,5,5,5,2,5,4,3,4
27,2,3,6,5,4,6,4,4,4,5,4,4,5,3,5,6,4,5
28,4,5,4,3,3,6,4,4,1,7,3,4,2,2,3,4,2,3
29,4,4,6,2,5,5,5,5,3,7,1,5,4,2,2,6,3,2
31,6,6,4,3,1,1,1,1,1,7,3,1,3,1,1,1,3,4
32,5,7,5,1,1,1,1,1,1,7,1,1,5,1,1,5,1,2
34,4,5,6,3,4,5,2,4,1,7,4,6,5,3,4,5,4,3
35,5,6,2,1,4,6,3,2,6,7,4,6,3,2,5,2,4,2
38,3,2,2,3,5,5,2,2,1,7,3,6,2,3,3,3,5,2
39,4,7,3,1,1,2,1,2,1,7,2,5,5,1,4,6,4,5
41,6,6,3,2,4,4,2,4,2,7,3,3,3,2,2,2,2,4
42,1,1,1,1,4,1,1,1,1,7,3,1,1,2,1,1,5,1
44,2,4,5,1,2,4,4,4,1,7,5,6,2,3,4,5,2,4
45,5,5,3,3,4,4,1,1,2,7,4,5,4,3,3,3,5,4
46,6,5,7,3,3,5,4,5,1,7,3,4,4,2,4,4,4,3
48,6,3,4,1,2,5,3,4,2,7,1,3,4,2,3,5,2,2
49,5,4,3,2,1,1,1,1,1,5,1,1,2,1,1,1,5,2
50,7,5,4,1,2,4,2,3,1,7,2,3,5,1,1,2,3,3
51,1,6,1,1,5,5,1,1,1,7,2,6,1,1,6,1,1,1
52,6,7,5,5,4,6,5,5,6,4,4,4,6,4,6,5,4,5
53,1,3,1,1,1,1,1,1,1,7,1,1,1,1,1,7,1,1
54,2,2,4,2,4,5,3,4,2,7,3,6,4,4,4,4,5,2
55,6,5,4,3,5,4,4,3,3,6,3,6,3,4,4,4,4,4
56,5,6,4,2,5,5,2,3,1,7,3,5,5,1,3,4,4,4
57,4,5,4,1,4,5,4,5,1,7,1,7,3,1,1,6,3,1
58,1,1,5,3,6,2,4,5,1,7,3,6,2,3,2,5,4,3
59,3,5,1,2,4,3,1,4,1,7,5,6,1,2,2,2,2,3
60,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1
62,3,3,4,4,6,3,4,4,3,7,3,7,3,4,3,4,5,4
63,7,7,6,3,5,7,5,7,2,7,3,7,4,4,5,6,2,5
64,2,6,2,1,1,2,1,2,1,7,2,2,2,1,3,3,3,4
66,5,5,4,4,5,5,3,4,1,7,4,6,3,2,4,5,4,5
67,4,5,2,2,4,3,2,2,1,7,5,6,3,4,3,2,2,2
68,3,3,3,4,5,2,2,3,2,6,4,5,2,4,2,3,5,4
69,2,7,1,1,1,4,1,4,1,7,3,6,2,2,5,6,1,5
70,4,4,3,2,3,5,3,4,2,7,3,3,4,2,3,4,4,3
71,6,7,1,1,3,5,1,1,3,7,2,4,5,3,3,1,5,1
72,2,6,2,1,5,2,1,2,1,7,3,5,3,4,4,4,5,4
74,4,5,3,2,5,6,3,4,1,7,6,6,3,2,4,4,3,5
75,4,4,5,3,3,6,3,4,1,7,4,3,4,2,3,4,3,5
76,4,6,5,3,3,5,4,4,1,7,3,6,5,2,4,6,4,6
77,5,5,1,1,3,3,1,1,2,6,2,3,4,3,3,1,3,1
78,4,4,4,1,3,6,3,5,1,7,2,4,5,1,3,5,3,2
79,3,5,2,2,1,1,1,1,1,7,6,2,1,1,1,2,2,5
80,3,5,1,1,4,2,1,2,1,5,3,7,1,1,1,1,6,4
81,6,5,3,2,4,4,1,2,1,7,2,4,3,2,2,3,3,2
82,4,5,2,3,3,4,1,2,1,7,4,7,3,2,2,4,3,2
83,3,5,4,1,3,5,2,4,1,7,1,5,2,1,3,6,1,1
84,2,3,1,1,5,2,1,1,1,7,4,5,2,5,2,2,4,2
87,5,6,3,1,6,7,3,4,1,7,1,5,5,2,3,7,4,1
88,1,3,1,1,4,4,1,2,1,6,3,5,3,5,4,2,3,5
