"","listing_id","id_revs","date","reviewer_id","reviewer_name","comments"
"1",51790330,947247085484746368,"2023-07-30",14414400,"Steve","The bad: Overall felt like a college dorm. The room was very small. the common areas dingy and the carpet and walls dirty. There’s a mildew smell on the air mixed with the many spices of everyone’s dinner. With no air conditioning or fan you have to sleep with the windows open, but the street noise is bad. The front door is an iron behemoth that shakes the whole place with a boom every time it closes. The good: convenient location and good communication"
"2",20576493,919714913917070080,"2023-06-22",300387780,"Tobias","We really liked Lily's place! It was very clean and practical for our visit to San Francisco. The location is good, specially if you have a car. Heads-up, don’t park on the side walk. Although we parked exactly where Lily told us, we got a parking ticket."
"3",212783,945076390714286592,"2023-07-27",44686882,"John","A good place to crash in a great location"
"4",52901955,979790464734042368,"2023-09-13",438003582,"Shrenevas","My partner and I were in SF for three days and feel like this hostel was well worth the price! The bathroom and showers were always clean and its location right outside of Chinatown was so convenient. The front desk was very accommodating and helpful with the check-in and check-out process, even offering to hold our bags for a few hours for the latter. The surrounding area generally felt safe, with my partner and I taking walks around the area until 9-10pm. Great experience overall! Highly recommend, especially given its location."
"5",8472083,879820147199772416,"2023-04-28",70366572,"Catherine","Couldn’t recommend this place enough! Richard and Bina we both so lovely, helpful, and went above and beyond on communication. Very grateful!"
"6",778939654117848320,963164726735830400,"2023-08-21",215328893,"Jonas","Very nice neighbourhood. There are many restaurants and shops nearby. It is only a short walk to the Golden Gate Park. The city center as well as Ocen Beach can quickly be reached by tram. The apartment itself is very quiet and cozy. We really enjoyed our stay at Amys place!"
"7",50832759,865348182962412544,"2023-04-08",122103756,"Brian","We had a great stay in Noe Valley! Hosts were so nice and eager to help with anything. Can’t beat the location!"
"8",7331464,995113039871713920,"2023-10-04",440934505,"Neil","Awesome tucked away spot, close to everything!"
"9",633381229623997952,970432476308457600,"2023-08-31",5663930,"Artem","Absolutely gorgeous place with so many little details that make it feel very cozy. Spacious, excellent location, all amenities included, just excellent all around. The hosts went above and beyond to accommodate me in more ways than one. One of the best airbnbs I've been in (and I've been to 50+!)."
"10",579290147030699648,903713959378179584,"2023-05-31",183151840,"Andrea","I had a perfect stay! Excellent hosts!!!"
"11",51106622,979847582689537536,"2023-09-13",59664699,"Brendon","Third time staying here. Dependably reliable. Top notch hosting as always."
"12",51621893,883387166440449024,"2023-05-03",320916215,"Patrik","so glad for the parkingspot and the beds was smart."
